O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,type,direction,frontier_type,growth_pred,var,is_redo,round,experiment_number,feature,bad,parent_plate,strain,environment,fitness,depth
0.0,3.2,3.6,2.0,8.4,2.25,9.0,0.0,0.0,1.0,0.5,0.9,ROLLOUT,DOWN,FRONTIER,1.0,1.01002836227417,False,3,11,0.779,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,5.392247346562069,30.85
0.0,3.6,3.6,2.0,12.0,2.0,9.0,12.5,0.0,0.7000000000000001,0.5,0.8,ROLLOUT,DOWN,BEYOND,0.0,0.6559381484985352,False,3,71,0.766,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,5.302261190586065,46.7
0.0,2.0,2.8000000000000003,2.0,8.4,2.25,7.0,37.5,25.0,0.9,0.25,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.0988893508911133,False,3,88,0.7000000000000001,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH7,4.845408398707892,88.7
0.0,3.2,3.6,2.0,7.199999999999999,2.25,9.0,0.0,0.0,1.0,0.5,0.9,ROLLOUT,DOWN,BEYOND,0.0,1.68487811088562,False,3,79,0.682,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,4.720812182741118,29.65
1.0,3.2,3.2,2.0,9.6,2.25,9.0,25.0,0.0,0.9,0.5,0.8,ROLLOUT,DOWN,BEYOND,0.0,0.9847313165664672,False,3,72,0.66,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,4.568527918781728,57.449999999999996
0.0,3.2,2.4000000000000004,1.6,4.8,2.0,7.0,50.0,37.5,0.9,0.25,0.8,ROLLOUT,DOWN,FRONTIER,1.0,2.1109728813171387,False,3,41,0.615,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH7,4.257037378864791,110.45
1.0,3.2,3.6,2.0,9.6,2.25,9.0,25.0,0.0,0.9,0.5,0.8,ROLLOUT,DOWN,FRONTIER,1.0,1.0008516311645508,False,3,10,0.615,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,4.257037378864791,57.849999999999994
0.0,3.2,3.6,1.8,8.4,2.0,9.0,25.0,37.5,0.6000000000000001,0.5,0.8,ROLLOUT,DOWN,BEYOND,0.0,2.0747873783111572,False,3,86,0.612,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,4.236271342870329,92.39999999999999
0.0,2.8000000000000003,4.0,1.4,8.4,2.0,9.0,0.0,0.0,0.6000000000000001,0.35,1.0,ROLLOUT,DOWN,BEYOND,0.0,1.2134690284729004,False,3,73,0.611,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,4.229349330872174,29.550000000000004
0.0,3.2,2.4000000000000004,2.0,7.199999999999999,2.5,9.0,25.0,75.0,0.7000000000000001,0.35,0.4,ROLLOUT,DOWN,BEYOND,0.0,2.1109306812286377,False,3,94,0.61,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,4.22242731887402,127.75
0.0,2.0,3.2,1.2000000000000002,7.199999999999999,2.25,9.0,25.0,12.5,0.9,0.25,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,1.757993459701538,False,3,81,0.609,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,4.215505306875866,64.2
0.0,4.0,3.2,1.6,8.4,2.5,9.0,0.0,25.0,0.9,0.35,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,1.0,1.401158332824707,False,3,14,0.595,0,Plate_Round3_1$0c775cbb39b930fb98b2d8ee0b59f870c754483e,P_putida_AG5577,pH9,4.118597138901708,55.550000000000004
