feature,bad,plate_control,plate_blank,parent_plate,experiment_number,strain,environment
0.0010000000000000009,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,93,P_putida_AG5577,pH5
0.0,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,97,P_putida_AG5577,pH5
-0.0010000000000000009,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,67,P_putida_AG5577,pH5
0.0010000000000000009,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,68,P_putida_AG5577,pH5
-0.001999999999999988,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,2,P_putida_AG5577,pH5
-0.000999999999999987,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,31,P_putida_AG5577,pH5
0.195,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,24,P_putida_AG5577,pH5
-0.020000000000000004,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,71,P_putida_AG5577,pH5
0.017000000000000015,0,False,True,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,9999,P_putida_AG5577,pH5
0.16699999999999998,0,True,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,9999,P_putida_AG5577,pH5
0.020000000000000004,0,False,True,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,9999,P_putida_AG5577,pH5
0.001999999999999988,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,22,P_putida_AG5577,pH5
0.01100000000000001,0,True,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,9999,P_putida_AG5577,pH5
0.0020000000000000018,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,20,P_putida_AG5577,pH5
0.14100000000000001,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,28,P_putida_AG5577,pH5
-0.0010000000000000009,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,34,P_putida_AG5577,pH5
0.0010000000000000009,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,84,P_putida_AG5577,pH5
-0.0020000000000000018,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,19,P_putida_AG5577,pH5
0.0,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,21,P_putida_AG5577,pH5
-0.0010000000000000009,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,13,P_putida_AG5577,pH5
0.0030000000000000027,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,58,P_putida_AG5577,pH5
0.012999999999999984,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,9999,P_putida_AG5577,pH5
-0.006000000000000005,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,81,P_putida_AG5577,pH5
-0.0030000000000000027,0,False,False,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,86,P_putida_AG5577,pH5
0.009999999999999995,0,False,True,Plate_Round2_1$8076923df5f412c42b1a91317bcbe62c3121064b,9999,P_putida_AG5577,pH5
