SampleID,Resp,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,d_xylose,l_arabinose,sodium_chloride,urea,ammonium_chloride,pH,fitness_pykA_PP_1362,fitness_pykF_PP_4301,fitness_ppc_PP_1505
set10H10__psRCH2,0.2114175072441318,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-3.0965154586794,0.18674833384633,-0.158226646263777
set10H11__psRCH2,0.632066851704136,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.0696087626721873,0.256112568657349,0.168713421183097
set10H12__psRCH2,0.5803803300342708,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-0.0684009314212728,0.0912260922855794,0.0558948148447156
set10H13__psRCH2,0.20435437852637894,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-4.33618640125846,0.604465721961158,0.581457905116757
set10H14__psRCH2,0.1723566130442677,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-3.56832781838862,-0.0616141413565305,0.0774672865458679
set10H15__psRCH2,0.5608928204055803,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.368694138484822,-0.297629040736815,-0.14490861791162
set10H16__psRCH2,0.5619400497380961,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.558689591256959,-0.459158041457624,-0.165218214700445
set10H17__psRCH2,0.6029892851458478,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.377920200816373,-0.211438150265692,0.0917526399183415
set10H18__psRCH2,0.49254553036278204,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.104732772427484,-0.562669096120713,-0.142565470101123
set10H19__psRCH2,0.5537112339149747,0.0,20,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.305398678631107,-0.434029984398401,-0.00103975165829229
set10H20__psRCH2,0.5696768380137692,0.0,20,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.00931832103548702,0.0769233806567902,-0.0915282722519679
set10H21__psRCH2,0.6153599232595945,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.342944777902142,-0.00429381493277248,0.0192420844255301
set10H22__psRCH2,0.482545912698431,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.201088183725886,-0.714811606260242,-0.163540269416159
set10H23__psRCH2,0.6076926319639817,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.166780183682239,0.02045775605486,0.108754589144857
set10H24__psRCH2,0.6171316854910446,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.259993611537949,-0.00772618300830707,0.119994309028076
set10H25__psRCH2,0.6077241323351923,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.360865663664784,-0.0761310113083058,0.0115112899857046
set10H26__psRCH2,0.569485600011968,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.0685648182324285,0.136285885342254,-0.211633322353509
set10H27__psRCH2,0.544246553812192,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.162108412678211,-0.226217601808768,-0.138875594002589
set10H28__psRCH2,0.5471582192070787,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.142132607554974,0.0655422496831719,-0.388134645636053
set10H29__psRCH2,0.5231132158102946,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-0.17594688450449,-0.159633622746742,-0.0302916885021276
set10H30__psRCH2,0.5222255802872455,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-0.252040930276276,-0.13662960771558,0.0159748500203711
set10H31__psRCH2,0.2041021050480431,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-0.0630856535990056,-1.23760675675828,-1.85254741007382
set10H32__psRCH2,0.262721958958256,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.242734246937845,-1.38922762243626,-1.37580358144768
set10H33__psRCH2,0.6045836463340385,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.122891272360047,0.0437008106790875,0.104424428968318
set10H34__psRCH2,0.6181523429222894,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.278487999411898,-0.00127600892216617,0.103338543345484
set10H35__psRCH2,0.1799790597207134,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-3.07157602156413,-0.527454445766375,0.147296193798675
set10H36__psRCH2,0.19728176363550431,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-3.020274167303,-0.301294511890536,0.086780691314978
set10H37__psRCH2,0.4751911223954453,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-0.249587964146103,-0.223096496864536,-0.261103227573304
set10H38__psRCH2,0.4661504385193652,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-0.282338299277286,-0.45241355543111,-0.0686325066073268
set10H39__psRCH2,0.3611428571930839,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.624390590598613,0.0416664884059115,-2.30333263412245
set10H3__psRCH2,0.1293677825710557,20.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,-3.99960801726204,-0.316917468280329,0.11668750807783
set10H40__psRCH2,0.49083791697672363,0.0,0,0,0.0,0,0,0,0,0,4.67377079828005,7.2,0.244698292416195,0.420290619150616,-1.2785942308112
