parent_plate,parent_well_index,parent_well,solution_id,replicate,plate_control,plate_blank,control_type,strain,environment,plate_name
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,1,A1,plate_control,4,True,False,plate_control,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,2,A2,expt87_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,3,A3,expt60_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,4,A4,plate_blank,5,False,True,plate_blank,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,5,A5,expt36_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,6,A6,expt41_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,7,A7,plate_control,2,True,False,plate_control,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,8,A8,o2_control_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,9,A9,expt23_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,10,A10,expt79_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
